Entity,Day,"Daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned)"
Canada,1/28/2020,0
Canada,1/29/2020,0
Canada,1/30/2020,0
Canada,1/31/2020,0
Canada,2/1/2020,0
Canada,2/2/2020,0
Canada,2/3/2020,0
Canada,2/4/2020,0
Canada,2/5/2020,0
Canada,2/6/2020,0
Canada,2/7/2020,0
Canada,2/8/2020,0
Canada,2/9/2020,0
Canada,2/10/2020,0
Canada,2/11/2020,0
Canada,2/12/2020,0
Canada,2/13/2020,0
Canada,2/14/2020,0
Canada,2/15/2020,0
Canada,2/16/2020,0
Canada,2/17/2020,0
Canada,2/18/2020,0
Canada,2/19/2020,0
Canada,2/20/2020,0
Canada,2/21/2020,0
Canada,2/22/2020,0
Canada,2/23/2020,0
Canada,2/24/2020,0
Canada,2/25/2020,0
Canada,2/26/2020,0
Canada,2/27/2020,0
Canada,2/28/2020,0
Canada,2/29/2020,0
Canada,3/1/2020,0
Canada,3/2/2020,0
Canada,3/3/2020,0
Canada,3/4/2020,0
Canada,3/5/2020,0
Canada,3/6/2020,0
Canada,3/7/2020,0
Canada,3/8/2020,0
Canada,3/9/2020,0
Canada,3/10/2020,0.003679874
Canada,3/11/2020,0.003679874
Canada,3/12/2020,0.003679874
Canada,3/13/2020,0.003679874
Canada,3/14/2020,0.003679874
Canada,3/15/2020,0.003679874
Canada,3/16/2020,0.003679874
Canada,3/17/2020,0
Canada,3/18/2020,0.011039621
Canada,3/19/2020,0.022079242
Canada,3/20/2020,0.025759116
Canada,3/21/2020,0.033118863
Canada,3/22/2020,0.036798738
Canada,3/23/2020,0.05151823
Canada,3/24/2020,0.05151823
Canada,3/25/2020,0.05151823
Canada,3/26/2020,0.044158485
Canada,3/27/2020,0.05151823
Canada,3/28/2020,0.05151823
Canada,3/29/2020,0.08831697
Canada,3/30/2020,0.09567671
Canada,3/31/2020,0.099356584
Canada,4/1/2020,0.1398352
Canada,4/2/2020,0.16191444
Canada,4/3/2020,0.18399368
Canada,4/4/2020,0.4195056
Canada,4/5/2020,0.5593408
Canada,4/6/2020,0.699176
Canada,4/7/2020,0.8758099
Canada,4/8/2020,0.98252624
Canada,4/9/2020,1.16284
